"Period;Value"
"01/jan/1992;790"
"01/feb/1992;539"
"01/mar/1992;535"
"01/apr/1992;523"
"01/may/1992;552"
"01/jun/1992;589"
"01/jul/1992;592"
"01/aug/1992;894"
"01/sep/1992;861"
"01/oct/1992;645"
"01/nov/1992;642"
"01/dec/1992;1165"
"01/jan/1993;998"
"01/feb/1993;568"
"01/mar/1993;602"
"01/apr/1993;583"
"01/may/1993;612"
"01/jun/1993;618"
"01/jul/1993;607"
"01/aug/1993;983"
"01/sep/1993;903"
"01/oct/1993;669"
"01/nov/1993;692"
"01/dec/1993;1273"
"01/jan/1994;1053"
"01/feb/1994;635"
"01/mar/1994;634"
"01/apr/1994;610"
"01/may/1994;684"
"01/jun/1994;724"
"01/jul/1994;678"
"01/aug/1994;1154"
"01/sep/1994;1022"
"01/oct/1994;732"
"01/nov/1994;772"
"01/dec/1994;1409"
"01/jan/1995;1308"
"01/feb/1995;718"
"01/mar/1995;695"
"01/apr/1995;688"
"01/may/1995;785"
"01/jun/1995;808"
"01/jul/1995;782"
"01/aug/1995;1248"
"01/sep/1995;1102"
"01/oct/1995;746"
"01/nov/1995;850"
"01/dec/1995;1466"
"01/jan/1996;1373"
"01/feb/1996;757"
"01/mar/1996;743"
"01/apr/1996;750"
"01/may/1996;853"
"01/jun/1996;838"
"01/jul/1996;786"
"01/aug/1996;1359"
"01/sep/1996;1040"
"01/oct/1996;899"
"01/nov/1996;908"
"01/dec/1996;1599"
"01/jan/1997;1558"
"01/feb/1997;825"
"01/mar/1997;813"
"01/apr/1997;806"
"01/may/1997;894"
"01/jun/1997;875"
"01/jul/1997;830"
"01/aug/1997;1301"
"01/sep/1997;1158"
"01/oct/1997;923"
"01/nov/1997;994"
"01/dec/1997;1765"
"01/jan/1998;1463"
"01/feb/1998;921"
"01/mar/1998;882"
"01/apr/1998;854"
"01/may/1998;919"
"01/jun/1998;939"
"01/jul/1998;881"
"01/aug/1998;1385"
"01/sep/1998;1246"
"01/oct/1998;953"
"01/nov/1998;990"
"01/dec/1998;1849"
"01/jan/1999;1514"
"01/feb/1999;990"
"01/mar/1999;976"
"01/apr/1999;933"
"01/may/1999;976"
"01/jun/1999;1031"
"01/jul/1999;1023"
"01/aug/1999;1386"
"01/sep/1999;1240"
"01/oct/1999;1019"
"01/nov/1999;1088"
"01/dec/1999;1996"
"01/jan/2000;1505"
"01/feb/2000;1090"
"01/mar/2000;1031"
"01/apr/2000;975"
"01/may/2000;1104"
"01/jun/2000;1122"
"01/jul/2000;1048"
"01/aug/2000;1594"
"01/sep/2000;1406"
"01/oct/2000;1014"
"01/nov/2000;1098"
"01/dec/2000;1892"
"01/jan/2001;1585"
"01/feb/2001;1070"
"01/mar/2001;1062"
"01/apr/2001;934"
"01/may/2001;1070"
"01/jun/2001;1077"
"01/jul/2001;1005"
"01/aug/2001;1820"
"01/sep/2001;1406"
"01/oct/2001;1015"
"01/nov/2001;1098"
"01/dec/2001;1956"
"01/jan/2002;1971"
"01/feb/2002;1000"
"01/mar/2002;1008"
"01/apr/2002;966"
"01/may/2002;1116"
"01/jun/2002;1045"
"01/jul/2002;1038"
"01/aug/2002;1797"
"01/sep/2002;1490"
"01/oct/2002;997"
"01/nov/2002;1059"
"01/dec/2002;1950"
"01/jan/2003;2056"
"01/feb/2003;991"
"01/mar/2003;925"
"01/apr/2003;975"
"01/may/2003;1107"
"01/jun/2003;1181"
"01/jul/2003;1128"
"01/aug/2003;2139"
"01/sep/2003;1572"
"01/oct/2003;1045"
"01/nov/2003;1036"
"01/dec/2003;2064"
"01/jan/2004;2146"
"01/feb/2004;1108"
"01/mar/2004;1073"
"01/apr/2004;1023"
"01/may/2004;1113"
"01/jun/2004;1207"
"01/jul/2004;1172"
"01/aug/2004;2120"
"01/sep/2004;1561"
